		[0, -1, 2]	['dummy entry: 0 easily confused with undefined', '', '']
sensational	j	[2, -1, 2]	['聳動的、煽情的', '', '']
sense	nv	[0, -1, 2]	['感官、觀念、意義；意識到、感覺到', '', '']
sensible	j	[1, -1, 2]	['明理的、理智的', '', '']
sensitive	j	[1, -1, 2]	['敏感的、靈敏的', '', '']
sensitivity	n	[2, -1, 2]	['體貼、敏感', '', '']
sentence	nv	[1, -1, 2]	['句子、判決；宣判', '', '']
sentiment	n	[2, -1, 2]	['情操、多愁善感', '', '']
sentimental	j	[2, -1, 2]	['情感的、多愁善感的', '', '']
separate	jv	[0, -1, 2]	['分開的；分開', '', '']
separation	n	[1, -1, 2]	['分離、分隔', '', '']
separatism	n	[2, -1, 2]	['分離主義、獨立主義', '', '']
separatist	jn	[2, -1, 2]	['分離主義的；獨立主義者', '', '']
September	n	[0, -1, 2]	['九月', '= Sept.', '']
sequence	n	[2, 40, 3]	['一系列、次序', '', 'sequence']
serene	j	[2, -1, 2]	['平靜的、安詳的', '', '']
serenity	n	[2, -1, 2]	['平靜、安詳', '', '']
sergeant	n	[2, -1, 2]	['軍士、中士、巡佐', '', '']
serial	nj	[2, -1, 2]	['連續劇；連續的', '', '']
series	n	[1, 41, 3]	['系列、連續', '', 'series']
serious	j	[0, -1, 2]	['嚴重的', '', '']
seriously	b	[2, -1, 2]	['嚴重地、說實在地', '', '']
sermon	n	[2, -1, 2]	['佈道', '', '']
servant	n	[0, -1, 2]	['僕人', '', '']
serve	v	[0, -1, 2]	['服務', '', '']
server	n	[2, -1, 2]	['侍者、服務生', '', '']
service	n	[0, -1, 2]	['服務', '', '']
serviceman	n	[2, -1, 2]	['軍人', '', '']
servicewoman	n	[2, -1, 2]	['女軍人、女兵', '', '']
serving	n	[2, -1, 2]	['(一份)食物', '', '']
session	n	[1, -1, 2]	['一節(課程)、會議、開庭', '', '']
set	v	[0, -1, 2]	['放、裝設', '', '']
set	j	[0, -1, 2]	['準備好的', '', '']
set	n	[0, -1, 2]	['一套(組、副)', '', '']
setback	n	[2, -1, 2]	['阻礙、障礙', '', '']
setting	n	[2, -1, 2]	['情節背景；(儀器)調節', '', '']
settle	v	[1, -1, 2]	['解決、決定、安頓', '', '']
settled	j	[2, -1, 2]	['穩定的、安定的', '', '']
settlement	n	[1, -1, 2]	['協議、解決', '', '']
settler	n	[1, -1, 2]	['移民', '', '']
setup	n	[1, -1, 2]	['組織、結構', '', '']
seven	mrnj	[0, -1, 2]	['七', '', '']
seventeen	mrnj	[0, -1, 2]	['十七', '', '']
seventy	mrnj	[0, -1, 2]	['七十', '', '']
several	jr	[0, -1, 2]	['一些的；幾個', '', '']
severe	j	[1, -1, 2]	['嚴重的、嚴厲的', '', '']
sew	v	[1, -1, 2]	['縫、縫補', '', '']
sewer	n	[2, -1, 2]	['汙水管、下水道', '', '']
sex	n	[1, 40, 3]	['性別、性', '', 'sex']
sexual	j	[1, 40, 3]	['性的、性別的', '', 'sex']
sexuality	n	[2, 40, 3]	['性徵、性慾、性行為', '', 'sex']
sexy	j	[1, -1, 2]	['性感迷人的', '', '']
shabby	j	[2, -1, 2]	['破舊的、不公正的', '', '']
shade	nv	[1, -1, 2]	['蔭、陰影；遮擋(光線)、畫陰影', '', '']
shadow	nv	[1, -1, 2]	['影子；遮蔽、跟蹤', '', '']
shady	j	[1, -1, 2]	['多蔭的、陰暗的', '', '']
shaft	nv	[2, -1, 2]	['井狀通道、一束(光)；虧待', '', '']
shake	vn	[0, -1, 2]	['搖動、握手；搖動', '', '']
shall	x	[0, -1, 2]	['將', '', '']
shallow	j	[1, -1, 2]	['淺的、膚淺的', '', '']
shame	nv	[1, -1, 2]	['羞愧、遺憾；使感到羞恥', '', '']
shameful	j	[1, -1, 2]	['可恥的、丟臉的', '', '']
shampoo	nv	[1, -1, 2]	['洗髮精；用洗髮精洗(頭髮)', '', '']
shape	n	[0, -1, 2]	['形狀', '', '']
shape	v	[2, -1, 2]	['塑造', '', '']
share	n	[0, -1, 2]	['股票、部分', '', '']
share	v	[0, -1, 2]	['分享、分擔', '', '']
shareholder	n	[2, -1, 2]	['股東', '', '']
shark	n	[0, -1, 2]	['鯊魚', '', '']
sharp	j	[0, -1, 2]	['銳利的', '', '']
sharpen	v	[1, -1, 2]	['使鋒利、加劇、提高', '', '']
shatter	v	[2, -1, 2]	['破碎、粉碎', '', '']
shave	v	[1, -1, 2]	['剃、刮毛髮', '', '']
shaver	n	[1, -1, 2]	['刮鬍刀', '', '']
she	r	[0, -1, 2]	['她', '', '']
shear	vn	[2, -1, 2]	['剪羊毛；(修剪枝葉用)大剪刀', '', '']
shed	nv	[2, -1, 2]	['棚子；擺脫、使落下', '', '']
sheep	n	[0, -1, 2]	['綿羊', '', '']
sheer	jbv	[2, -1, 2]	['(強調數量或大小)完全的、陡峭的；(強調數量或大小)完全地、陡峭地；突然轉向', '', '']
sheet	n	[0, -1, 2]	['床單、一張', '', '']
shelf	n	[0, -1, 2]	['架子', '', '']
shell	n	[1, -1, 2]	['殼、殼狀物', '', '']
shelter	nv	[1, -1, 2]	['避難所、遮蔽處；躲避、保護、遮蔽', '', '']
shepherd	nv	[1, -1, 2]	['牧羊人；牧羊、帶領', '', '']
sheriff	n	[2, -1, 2]	['郡保安官', '', '']
sherry	n	[2, -1, 2]	['雪利酒', '', '']
shield	nv	[2, -1, 2]	['盾牌；保護', '', '']
shift	vn	[1, 40, 3]	['變換、輪班；轉移、變換', '', 'shift']
shilling	n	[2, -1, 2]	['先令', '', '']
shine	v	[0, -1, 2]	['照亮', '', '']
shining	j	[1, -1, 2]	['發光的；明亮而快樂的；出色的', '', '']
shiny	j	[1, -1, 2]	['光亮的', '', '']
ship	n	[0, -1, 2]	['(航海的)大船、艦', '', '']
ship	v	[0, -1, 2]	['用船運、運送', '', '']
shipment	n	[2, -1, 2]	['運輸、運輸的貨物', '', '']
shipping	n	[2, -1, 2]	['運輸、船運', '', '']
shirt	n	[0, -1, 2]	['襯衫', '', '']
shiver	vn	[2, -1, 2]	['顫抖；哆嗦', '', '']
shock	nv	[0, -1, 2]	['震驚；使驚訝', '', '']
shoe	n	[0, -1, 2]	['鞋', '', '']
shoot	vn	[0, -1, 2]	['發射、投籃；發射、射擊', '', '']
shooting	n	[2, -1, 2]	['槍擊、(電影)拍攝', '', '']
shop	n	[0, -1, 2]	['店舖', '= store 商店', '']
shop	v	[0, -1, 2]	['買、購物', '', '']
shopkeeper	n	[1, -1, 2]	['商店老闆', '', '']
shoplift	v	[2, -1, 2]	['在商店順手牽羊', '', '']
shore	n	[0, -1, 2]	['岸', '', '']
short	j	[0, -1, 2]	['矮的、短的、缺乏的', '', '']
shortage	n	[1, -1, 2]	['缺少、不足', '', '']
shortcoming	n	[1, -1, 2]	['缺點', '', '']
shortcut	n	[1, -1, 2]	['捷徑', '', '']
shorten	v	[1, -1, 2]	['縮短', '', '']
shortly	b	[1, -1, 2]	['不久、立刻', '', '']
shorts	n	[1, -1, 2]	['短褲', '', '']
short-sighted	j	[1, -1, 2]	['近視的、目光短淺的', '', '']
short-term	j	[1, -1, 2]	['短期的、近期的', '', '']
shot	n	[0, -1, 2]	['射擊、(藥品)一次注射量', '', '']
should	x	[0, -1, 2]	['應該', '', '']
shoulder	n	[0, -1, 2]	['肩膀', '', '']
shout	vn	[0, -1, 2]	['大聲說、吼叫；喊叫聲', '', '']
shove	vn	[2, -1, 2]	['推擠、亂放、挪動身體；推', '', '']
shovel	nv	[1, -1, 2]	['鏟子；鏟', '', '']
show	vn	[0, -1, 2]	['給…看；展覽', '', '']
shower	nv	[0, -1, 2]	['淋浴；(下)陣雨', '', '']
shred	vn	[2, -1, 2]	['撕碎；碎片', '', '']
shrewd	j	[2, -1, 2]	['精明的、高明的', '', '']
shriek	vn	[2, -1, 2]	['尖叫；尖叫聲', '', '']
shrimp	n	[0, -1, 2]	['蝦子', '', '']
shrine	n	[2, -1, 2]	['聖地、神廟', '', '']
shrink	vn	[1, -1, 2]	['縮小、減少；畏縮', '', '']
shrub	n	[2, -1, 2]	['灌木', '', '']
shrug	vn	[1, -1, 2]	['聳肩', '', '']
shudder	vn	[2, -1, 2]	['發抖、劇烈震動', '', '']
shuffle	vn	[2, -1, 2]	['拖著腳走；洗牌', '', '']
shun	v	[2, -1, 2]	['避開、迴避', '', '']
shut	v	[0, -1, 2]	['關上、打烊', '', '']
shutter	n	[2, -1, 2]	['百葉窗；相機快門', '', '']
shutter	v	[2, -1, 2]	['關上...的百葉窗或快門；停止營業', '', '']
shuttle	nv	[1, -1, 2]	['航班、班車、梭；(頻繁)往返', '', '']
shy	j	[0, -1, 2]	['害羞的', '', '']
sibling	n	[2, -1, 2]	['兄弟姊妹', '', '']
sick	j	[0, -1, 2]	['生病的、噁心的', '', '']
sickness	n	[1, -1, 2]	['疾病', '', '']
side	n	[0, -1, 2]	['邊、側', '', '']
side effect	n	[2, -1, 2]	['副作用', '', '']
sidewalk	n	[0, -1, 2]	['人行道', '= pavement (British English)', '']
sideways	bj	[2, -1, 2]	['橫斜地、橫向一邊地；橫斜的、橫向一邊的', '', '']
siege	n	[2, -1, 2]	['圍城、封鎖', '', '']
sigh	vn	[1, -1, 2]	['嘆息', '', '']
sight	n	[0, -1, 2]	['視力、視線', '', '']
sightseeing	n	[1, -1, 2]	['觀光、遊覽', '', '']
sign	v	[0, -1, 2]	['簽名、簽約', '', '']
sign	n	[0, -1, 2]	['徵兆、標示', '', '']
signal	nv	[1, -1, 2]	['信號；發信號', '', '']
signal	j	[1, -1, 2]	['顯著的、非凡的', '', '']
signature	n	[1, -1, 2]	['簽名', '', '']
significance	n	[1, 38, 3]	['重要性、意義', '', 'significant']
significant	j	[1, 38, 3]	['顯著的、有重大意義的', '', 'significant']
signify	v	[2, 38, 3]	['意味著、表示', '', 'significant']
silence	n	[0, -1, 2]	['沉默、安靜', '', '']
silent	j	[0, -1, 2]	['安靜的', '', '']
silicon	n	[2, -1, 2]	['矽', '', '']
silk	n	[1, -1, 2]	['絲(稠)、絲織品', '', '']
silkworm	n	[2, -1, 2]	['蠶', '', '']
silly	j	[0, -1, 2]	['愚蠢的', '', '']
silver	nj	[0, -1, 2]	['銀；銀質的、銀色的', '', '']
similar	j	[0, 38, 3]	['類似的', '', 'similar']
similarity	n	[1, 38, 3]	['相似(處)', '', 'similar']
simmer	vn	[2, -1, 2]	['充滿(怒氣)、用文火燉煮；(情緒)快要爆發、快沸騰的狀態', '', '']
simple	j	[0, -1, 2]	['簡單的', '', '']
simplicity	n	[2, -1, 2]	['簡單、質樸', '', '']
simplify	v	[1, -1, 2]	['簡化', '', '']
simply	b	[0, -1, 2]	['只是、簡單地', '', '']
simulate	v	[2, 44, 3]	['假裝、冒充、模擬', '', 'simulate']
simulation	n	[2, 44, 3]	['模擬、冒充', '', 'simulate']
simultaneous	j	[2, -1, 2]	['同時的、同步的', '', '']
sin	nv	[1, -1, 2]	['罪(惡)、過失；犯過失', '', '']
since	cpb	[0, -1, 2]	['從...以來；自從；從此、此後', '', '']
sincere	j	[0, -1, 2]	['真誠的', '', '']
sincerity	n	[2, -1, 2]	['真誠、誠懇', '', '']
sing	v	[0, -1, 2]	['唱(歌)', '', '']
Singapore	n	[0, -1, 2]	['新加坡', '', '']
singer	n	[0, -1, 2]	['歌手', '', '']
single	jn	[0, -1, 2]	['單一的、單身的；未婚者、單曲(唱片)', '', '']
singular	j	[1, -1, 2]	['單數的', '', '']
sinister	j	[2, -1, 2]	['邪惡的、不祥的', '', '']
sink	n	[0, -1, 2]	['水槽', '', '']
sink	v	[0, -1, 2]	['下沉', '', '']
sip	vn	[1, -1, 2]	['啜飲；一小口', '', '']
sir	n	[0, -1, 2]	['先生', '', '']
sister	n	[0, -1, 2]	['姐妹', '', '']
sit	v	[0, -1, 2]	['坐', '', '']
sit-down	n	[2, -1, 2]	['坐下休息', '', '']
sit-down	j	[2, -1, 2]	['坐在餐桌前的、靜坐抗議的', '', '']
site	n	[1, 39, 3]	['位址、網站', '', 'site']
sit-in	n	[2, -1, 2]	['靜坐示威、靜坐罷工', '', '']
situated	j	[2, -1, 2]	['坐落於...的、處於…境地的', '', '']
situation	n	[1, -1, 2]	['情況、形勢', '', '']
six	mrnj	[0, -1, 2]	['六', '', '']
sixteen	mrnj	[0, -1, 2]	['十六', '', '']
sixty	mrnj	[0, -1, 2]	['六十', '', '']
size	n	[0, -1, 2]	['尺寸', '', '']
skate	nv	[0, -1, 2]	['冰鞋；溜冰', '', '']
skeleton	nj	[2, -1, 2]	['骨架、骨骼標本；只有輪廓的', '', '']
skeptical	j	[2, -1, 2]	['懷疑的', '= sceptical (British English), skeptic, sceptic', '']
sketch	nv	[1, -1, 2]	['素描、概述', '', '']
ski	nv	[0, -1, 2]	['滑雪板；滑雪', '', '']
skill	n	[0, -1, 2]	['技術', '', '']
skilled	j	[2, -1, 2]	['有技能的、熟練的', '', '']
skillful	j	[0, -1, 2]	['有技術的', '= skilful (British English)', '']
skim	vn	[1, -1, 2]	['撇去、掠過、瀏覽', '', '']
skin	n	[0, -1, 2]	['皮膚', '', '']
skinny	j	[0, -1, 2]	['很瘦的', '', '']
skip	v	[1, -1, 2]	['蹦蹦跳跳；略過', '', '']
skip	n	[1, -1, 2]	['跳、蹦；省略', '', '']
skipper	nv	[2, -1, 2]	['(小船)船長、(運動隊)隊長；當隊長', '', '']
skirt	v	[2, -1, 2]	['環繞…的四週、避開(話題)', '', '']
skirt	n	[0, -1, 2]	['裙子', '', '']
skull	n	[2, -1, 2]	['頭蓋骨、腦筋', '', '']
sky	n	[0, -1, 2]	['天空', '', '']
skyscraper	n	[1, -1, 2]	['摩天大樓', '', '']
slack	j	[2, -1, 2]	['鬆弛的、蕭條的、懈怠的', '', '']
slack	v	[2, -1, 2]	['放鬆、變鬆弛、減緩', '', '']
slack	n	[2, -1, 2]	['(繩索等的)鬆弛部分、蕭條期、懈怠', '', '']
slam	vn	[2, -1, 2]	['砰然關上、使勁擲於；猛關或猛撞(的聲音)', '', '']
slang	n	[1, -1, 2]	['俚語', '', '']
slap	vn	[2, -1, 2]	['拍、掌摑；輕拍、(一記)耳光', '', '']
slap	b	[2, -1, 2]	['正好、恰好', '', '']
slash	vn	[2, -1, 2]	['砍、劈、大幅削減；砍、劈、長而窄的切口', '', '']
slate	n	[2, -1, 2]	['石板', '', '']
slate	v	[2, -1, 2]	['預定；(在報紙評論中)抨擊', '', '']
slaughter	vn	[2, -1, 2]	['屠宰、殺戮', '', '']
slave	nv	[1, -1, 2]	['奴隸；拼命工作', '', '']
slavery	n	[1, -1, 2]	['奴隸制', '', '']
slay	v	[2, -1, 2]	['殺死、殘害、謀殺', '', '']
sled	nv	[2, -1, 2]	['雪橇；乘雪橇', '= sledge (British English)', '']
sleep	vn	[0, -1, 2]	['睡覺；睡覺、睡眠', '', '']
sleepy	j	[0, -1, 2]	['想睡的', '', '']
sleeve	n	[1, -1, 2]	['袖子', '', '']
sleigh	nv	[2, -1, 2]	['(馬拉的)雪橇；乘雪橇', '', '']
slender	j	[0, -1, 2]	['苗條的', '', '']
slice	nv	[1, -1, 2]	['(薄)片；切、切成薄片', '', '']
slick	n	[2, -1, 2]	['水面浮油', '', '']
slick	v	[2, -1, 2]	['使光滑平整', '', '']
slick	jb	[2, -1, 2]	['光滑的、熟練的、巧妙的；熟練地、靈巧地', '', '']
slide	vn	[0, -1, 2]	['滑動；滑梯', '', '']
slight	jvn	[1, -1, 2]	['輕微的；輕視、冷落', '', '']
slim	j	[0, -1, 2]	['苗條的', '', '']
slip	vn	[0, -1, 2]	['滑動、滑跤', '', '']
slipper	n	[0, -1, 2]	['拖鞋', '', '']
slippery	j	[1, -1, 2]	['滑的', '', '']
slit	vn	[2, -1, 2]	['在…直直畫一刀、切開；狹長的切口', '', '']
slogan	n	[1, -1, 2]	['標語', '', '']
slope	nv	[1, -1, 2]	['斜坡；傾斜', '', '']
sloppy	j	[2, -1, 2]	['馬虎的、凌亂的', '', '']
slot	n	[2, -1, 2]	['狹縫；(自動販賣機等的)投幣口；(計畫表中的)時間', '', '']
slot	v	[2, -1, 2]	['在...上開狹長的孔；投放、插入；為...安排時間', '', '']
slow	jvb	[0, -1, 2]	['慢的；減慢；緩慢地', '', '']
slum	nv	[2, -1, 2]	['平民窟；過簡樸生活', '', '']
slump	n	[2, -1, 2]	['驟降、衰退', '', '']
slump	v	[2, -1, 2]	['驟降、衰退、重重地坐下', '', '']
sly	j	[2, -1, 2]	['狡詐的、詭祕的', '', '']
smack	vnb	[2, -1, 2]	['掌摑、打；打巴掌；砰然作響地、不偏不倚地', '', '']
small	j	[0, -1, 2]	['小的', '', '']
smallpox	n	[2, -1, 2]	['天花', '', '']
smart	j	[0, -1, 2]	['聰明的', '', '']
smash	vn	[2, -1, 2]	['打碎、猛烈碰撞；破碎', '', '']
smell	nv	[0, -1, 2]	['氣味；聞', '', '']
smile	vn	[0, -1, 2]	['微笑；笑容', '', '']
smog	n	[1, -1, 2]	['煙霧(污染物)', '', '']
smoke	nv	[0, -1, 2]	['煙；抽菸、冒煙', '', '']
smoky	j	[1, -1, 2]	['冒煙的、煙霧瀰漫的', '', '']
smooth	jv	[1, -1, 2]	['平整的、平滑的；使平整、使平滑', '', '']
smother	v	[2, -1, 2]	['悶死', '', '']
smuggle	v	[2, -1, 2]	['走私、偷運', '', '']
snack	nv	[0, -1, 2]	['點心；吃點心', '', '']
snail	n	[0, -1, 2]	['蝸牛', '', '']
snake	n	[0, -1, 2]	['蛇', '', '']
snap	v	[1, -1, 2]	['突然折斷；(門等)突然關上；拍快照；突然發作(尤指動怒)', '', '']
snap	n	[1, -1, 2]	['突然折斷(或闔上)的聲音、喀嚓聲', '', '']
snap	j	[1, -1, 2]	['匆忙的、不加思索的', '', '']
snare	nv	[2, -1, 2]	['陷阱、騙局；設陷阱', '', '']
snarl	v	[2, -1, 2]	['齜牙低吼、咆哮；把...纏作一團', '', '']
snarl	n	[2, -1, 2]	['齜牙低吼、咆哮；毛髮糾結、混亂', '', '']
snatch	vn	[2, -1, 2]	['奪去、搶走；抓、奪', '', '']
sneak	v	[1, -1, 2]	['偷溜、偷偷地做', '', '']
sneaker	n	[0, -1, 2]	['球鞋', '', '']
sneaky	j	[0, -1, 2]	['偷偷摸摸的', '', '']
sneer	nv	[2, -1, 2]	['嘲笑、譏笑', '', '']
sneeze	vn	[1, -1, 2]	['打噴嚏；打噴嚏聲', '', '']
sniff	vn	[2, -1, 2]	['嗅、聞；嗅、聞、吸氣聲', '', '']
snore	nv	[2, -1, 2]	['打呼聲；打呼', '', '']
snorkel	vn	[2, -1, 2]	['潛水；潛水用呼吸管', '', '']
snort	nv	[2, -1, 2]	['鼻息聲、哼聲；從鼻中噴氣作聲', '', '']
snow	nv	[0, -1, 2]	['雪；下雪', '', '']
snowman	n	[1, -1, 2]	['雪人', '', '']
snowy	j	[0, -1, 2]	['多雪的', '', '']
so	b	[0, -1, 2]	['如此', '', '']
so	c	[0, -1, 2]	['所以', '', '']
soak	vn	[2, -1, 2]	['浸泡、使濕透；浸泡', '', '']
soap	nv	[0, -1, 2]	['肥皂；抹肥皂', '', '']
soar	v	[2, -1, 2]	['急升、高飛', '', '']
sob	vn	[1, -1, 2]	['嗚咽、啜泣；啜泣(聲)', '', '']
sober	jv	[2, -1, 2]	['未醉的、冷靜的；使冷靜、使清醒', '', '']
so-called	j	[2, 47, 3]	['所謂的', '', 'so-called']
soccer	n	[0, -1, 2]	['足球', '', '']
sociable	j	[1, -1, 2]	['好交際的、友善的', '', '']
social	j	[0, -1, 2]	['社會的', '', '']
socialism	n	[2, -1, 2]	['社會主義', '', '']
socialist	jn	[2, -1, 2]	['社會主義(相關)的；社會主義者', '', '']
socialize	v	[2, -1, 2]	['交際、使適應社會', '= socialise', '']
society	n	[0, -1, 2]	['社會', '', '']
sociology	n	[2, -1, 2]	['社會學', '', '']
socket	n	[1, -1, 2]	['插座', '', '']
sock	n	[0, -1, 2]	['襪子', '', '']
soda	n	[0, -1, 2]	['蘇打、汽水', '', '']
sodium	n	[2, -1, 2]	['鈉', '', '']
sofa	n	[0, -1, 2]	['沙發', '', '']
soft	j	[0, -1, 2]	['軟的', '', '']
soft drink	n	[0, -1, 2]	['(不含酒精的)軟性飲料', '', '']
softball	n	[1, -1, 2]	['壘球', '', '']
soften	v	[2, -1, 2]	['軟化、變溫和', '', '']
software	n	[1, -1, 2]	['軟體', '', '']
soil	n	[1, -1, 2]	['土壤', '', '']
soil	v	[1, -1, 2]	['弄髒', '', '']
solar	j	[1, -1, 2]	['太陽(能)的', '', '']
soldier	n	[0, -1, 2]	['軍人', '', '']
sole	j	[2, 44, 3]	['唯一的', '', 'sole']
sole	nv	[2, 44, 3]	['腳底、鞋底；給(鞋)換底', '', 'sole']
solemn	j	[2, -1, 2]	['莊重的、嚴肅的', '', '']
solicitor	n	[2, -1, 2]	['(市鎮)法務官、訴狀律師', '', '']
solid	jn	[1, -1, 2]	['固體的、實心的、堅固的；固體', '', '']
solidarity	n	[2, -1, 2]	['團結、相互支持', '', '']
solitary	jn	[2, -1, 2]	['獨自的、獨處的；隱士', '', '']
solitude	n	[2, -1, 2]	['獨處、獨居', '', '']
solo	njb	[2, -1, 2]	['單人表演；獨自的；獨自地', '', '']
soluble	j	[2, -1, 2]	['可溶的、可解決的', '', '']
solution	n	[0, -1, 2]	['解答', '', '']
solve	v	[0, -1, 2]	['解決', '', '']
some	rd	[0, -1, 2]	['有些；一些', '', '']
somebody	r	[0, -1, 2]	['某人', '= someone', '']
someday	b	[2, -1, 2]	['有朝一日、將來', '', '']
somehow	b	[1, -1, 2]	['不知怎麼的、以某種方式', '', '']
someone	r	[0, -1, 2]	['某人', '= somebody', '']
something	r	[0, -1, 2]	['某個東西', '', '']
sometime	bj	[1, -1, 2]	['在某時；從前的、一度的', '', '']
sometimes	b	[0, -1, 2]	['有時候', '', '']
somewhat	b	[1, 44, 3]	['有點、稍微', '', 'somewhat']
somewhere	b	[0, -1, 2]	['在某處', '', '']
son	n	[0, -1, 2]	['兒子', '', '']
song	n	[0, -1, 2]	['歌曲', '', '']
soon	b	[0, -1, 2]	['不久、很快地、快、早', '', '']
soothe	v	[2, -1, 2]	['安慰、緩解', '', '']
sophisticated	j	[2, -1, 2]	['見多識廣的、精密的', '', '']
sophomore	n	[2, -1, 2]	['(大學、中學)二年級學生', '', '']
sore	jn	[0, -1, 2]	['痛的；痛處、瘡', '', '']
sorrow	n	[1, -1, 2]	['悲傷', '', '']
sorrowful	j	[2, -1, 2]	['悲傷的、悲痛的', '', '']
sorry	j	[0, -1, 2]	['對不起', '', '']
sort	n	[0, -1, 2]	['種類', '', '']
sort	v	[0, -1, 2]	['分類', '', '']
soul	n	[0, -1, 2]	['靈魂', '', '']
sound	j	[1, -1, 2]	['健康的、狀況良好的', '', '']
sound	nv	[0, -1, 2]	['聲音；聽起來', '', '']
soundtrack	n	[2, -1, 2]	['(電影)配樂、原聲帶', '', '']
soup	n	[0, -1, 2]	['湯', '', '']
sour	j	[0, -1, 2]	['酸的', '', '']
source	n	[0, 38, 3]	['來源', '', 'source']
south	nbj	[0, -1, 2]	['南方；在南方；南方的', '', '']
south-east	nbj	[1, -1, 2]	['東南方；在東南方；東南方的', '', '']
southern	j	[0, -1, 2]	['南方(人)的', '', '']
south-west	nbj	[1, -1, 2]	['西南方；在西南方；西南方的', '', '']
souvenir	n	[1, -1, 2]	['紀念品', '', '']
sovereign	jn	[2, -1, 2]	['有主權的；君主、元首', '', '']
sovereignty	n	[2, -1, 2]	['主權、獨立自主', '', '']
sow	v	[1, -1, 2]	['播種、散佈', '', '']
soy sauce	n	[0, -1, 2]	['醬油', '', '']
soybean	n	[1, -1, 2]	['黃豆', '= soya bean= soy', '']
space	n	[0, -1, 2]	['空間', '', '']
spacecraft	n	[1, -1, 2]	['太空船', '= spaceship', '']
spacious	j	[2, -1, 2]	['(房間)寬敞的', '', '']
spade	n	[1, -1, 2]	['鏟子', '', '']
spaghetti	n	[0, -1, 2]	['義大利麵', '', '']
span	nv	[2, -1, 2]	['一段時間、跨度；橫跨、持續', '', '']
spare	jn	[1, -1, 2]	['備用的；備用品', '', '']
spare	v	[1, -1, 2]	['剩下、(尤指在自己困難的情況下)抽出', '', '']
spark	nv	[1, -1, 2]	['火花；觸發', '', '']
sparkle	vn	[1, -1, 2]	['閃耀、閃爍；閃耀、閃爍、火花', '', '']
sparrow	n	[1, -1, 2]	['麻雀', '', '']
spatial	j	[2, -1, 2]	['空間的', '', '']
speak	v	[0, -1, 2]	['講', '', '']
speaker	n	[0, -1, 2]	['發言人', '', '']
spear	nv	[1, -1, 2]	['矛；用尖物刺穿', '', '']
special	jn	[0, -1, 2]	['特別的；特製菜餚、特別節目', '', '']
specialist	n	[2, -1, 2]	['專家、專科醫師', '', '']
specialize	v	[2, -1, 2]	['專攻、專門研究', '= specialise (British English)', '']
specialized	j	[1, -1, 2]	['專用的、專門的、專業的', '', '']
specially	b	[2, -1, 2]	['專門地、特意', '= especially', '']
specialty	n	[2, -1, 2]	['地方特產、專長', '= speciality (British English)', '']
species	n	[1, -1, 2]	['物種', '', '']
specific	j	[1, 38, 3]	['特定的、明確的', '', 'specific']
specification	n	[2, 38, 3]	['規格、規範', '', 'specific']
specify	v	[2, 40, 3]	['具體說明、明確規定', '', 'specify']
specimen	n	[2, -1, 2]	['樣品、標本、檢體', '', '']
spectacle	n	[2, -1, 2]	['精彩的表演、壯觀的景象、眼鏡(複數)', '', '']
spectacular	jn	[2, -1, 2]	['壯觀的、壯麗的；精彩的表演', '', '']
spectator	n	[1, -1, 2]	['觀眾', '', '']
spectrum	n	[2, -1, 2]	['光譜、頻譜、範圍', '', '']
speculate	v	[2, -1, 2]	['推測、投機', '', '']
speculation	n	[2, -1, 2]	['推測、投機買賣', '', '']
speech	n	[0, -1, 2]	['演說', '', '']
speed	nv	[0, -1, 2]	['速度；加速', '', '']
spell	n	[1, -1, 2]	['咒語', '', '']
spell	v	[0, -1, 2]	['拼字', '', '']
spelling	n	[0, -1, 2]	['拼寫', '', '']
spend	v	[0, -1, 2]	['度過', '', '']
sperm	n	[2, -1, 2]	['精子、精液', '', '']
sphere	n	[2, 46, 3]	['(幾何學)球體、範圍、領域', '', 'sphere']
spice	nv	[1, -1, 2]	['香料、趣味；加香料、增添趣味', '', '']
spicy	j	[1, -1, 2]	['辛辣的、加有香料的', '', '']
spider	n	[0, -1, 2]	['蜘蛛', '', '']
spike	n	[2, -1, 2]	['尖刺、釘鞋；(通常指在下跌前)非常高的數量', '', '']
spike	v	[2, -1, 2]	['用尖物刺入；上升至非常高的數量', '', '']
spill	vn	[1, -1, 2]	['灑出、溢出；泄漏(量)', '', '']
spin	v	[1, -1, 2]	['旋轉；紡紗；(蠶、蜘蛛等)吐(絲)、結(網)', '', '']
spin	n	[1, -1, 2]	['旋轉', '', '']
spinach	n	[1, -1, 2]	['菠菜', '', '']
spine	n	[2, -1, 2]	['脊椎、刺、書背', '', '']
spiral	njv	[2, -1, 2]	['螺旋；螺旋的；螺旋式上升(下降)、急劇增長', '', '']
spire	n	[2, -1, 2]	['(教堂)尖塔、尖頂', '', '']
spirit	n	[0, -1, 2]	['精神', '', '']
spiritual	j	[1, -1, 2]	['心靈的、精神的', '', '']
spit	vn	[1, -1, 2]	['吐(口水等)；唾液', '', '']
spite	n	[1, -1, 2]	['惡意、怨恨', '', '']
splash	vn	[1, -1, 2]	['潑濺；潑濺聲', '', '']
splendid	j	[1, -1, 2]	['燦爛的、極佳的', '', '']
splendor	n	[2, -1, 2]	['壯麗、華麗', '= splendour (British English)', '']
split	vnj	[1, -1, 2]	['分攤、分裂；分裂；分裂的', '', '']
