字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
tip	noun	小費；提示；頂端		初級		1200	L1
tip	verb	給小費		初級		1200	L1
tiptoe	verb/noun	踮腳、躡手躡腳		中級			L6
tire	noun	輪胎	= tyre (British English)	中級			L2
tire	verb	使疲勞		中級		800	L2
tiresome	adj.	令人厭煩的		中級			L6
tissue	noun	面紙、(動植物)組織		中級			L2
title	noun	標題		初級		800	L2
to 	prep./inf.	到		初級		1200
toad	noun	蟾蜍、討厭的人		中高級
toady	noun/verb	馬屁精；拍馬屁		中高級
toast 	noun	吐司；敬酒		初級		1200	L2
toast 	verb	烤吐司、烤；乾杯		初級		1200	L2
tobacco	noun	煙草		中級			L3
today	adv./noun	今天		初級		1200	L1
toddle	verb	(幼兒)蹣跚行走、溜躂		中高級
toddler	noun	學步的兒童		中高級
toe	noun	腳趾		初級		1200	L1
tofu	noun	豆腐	= bean curd	初級		800	L2
together	adv.	一起		初級		1200	L1
toil	verb/noun	辛勞工作、跋涉；苦工		中高級
toilet	noun	馬桶、衛生間		初級		800	L1
token	adj./noun	裝樣子的、敷衍的；代幣、象徵		中高級			L6
tolerable	adj.	可容忍的、還可以的		中級			L4
tolerance	noun	寬容、忍耐		中級			L4
tolerant	adj.	寬容的、忍耐的		中級			L4
tolerate	verb	寬容、忍耐		中級			L4
toll	noun	通行費；傷亡人數；鳴(喪)鐘		中高級			L5
toll	verb	向...徵收捐稅(或通行費等)		中高級			L5
tollbooth	noun	收費站		中高級
tollway	noun	收費公路		中高級
tomato	noun	番茄		初級		1200	L1
tomb	noun	墳墓		中級			L4
tomorrow	adv./noun	明天		初級		1200	L1
ton	noun	噸、大量		中級			L3
tone	noun/verb	腔調、語氣；調和		中級			L2
tongue	noun	舌頭		初級		800	L2
tonic	noun	奎寧水、補藥、使人振作之物		中高級
tonight	adv./noun	今晚		初級		1200	L1
tonne	noun	公噸		中高級
too	adv.	也		初級		1200	L1
tool	noun	工具		初級		1200	L1
tooth	noun	牙齒		初級		1200	L1
toothache	noun	牙痛		初級		800	L2
toothbrush	noun	牙刷		初級		800	L2
toothpaste	noun	牙膏		中級
top	noun/adj./verb	頂部；頂部的；到頂部		初級		1200	L1
topic	noun	主題		初級	L7	1200	L1
topical	adj.	熱門話題的		中高級	L7
topping	noun	(食物)上面的配料		中高級
topple	verb	倒塌、打翻		中高級
torch	noun/verb	火把；放火燒		中級			L5
torment	noun/verb	痛苦、煩惱；使痛苦、煩擾		中高級			L5
tornado	noun	龍捲風		中級			L6
torrent	noun	急流、連續不斷		中高級			L6
tortoise	noun	陸龜		中級			L4
torture	verb/noun	拷打、使痛苦；酷刑、折磨		中高級			L4
toss	verb/noun	拋、投、擲		中級			L3
total	adj./noun/verb	總數的；總數；合計		初級		1200	L1
touch	verb/noun	接觸、觸摸；觸覺、觸摸		初級		1200	L1
touching	adj.	令人同情的、感人的		中高級
touchy	adj.	易怒的、敏感的		中高級
tough	adj.	堅強的、困難的、強硬的		中級			L3
tour	noun/verb	旅遊、遊覽		初級			L2
tourism	noun	觀光(業)		中級			L3
tourist	noun	遊客、觀光客		中級			L3
tournament	noun	錦標賽		中高級			L5
tow	verb/noun	拖、拉、牽引		中級			L3
toward	prep.	朝著	= towards	初級		800	L2
towel	noun	毛巾、紙巾		初級		1200	L1
tower	noun	塔		初級		800	L3
town	noun	城鎮		初級		1200	L1
township	noun	鎮區、(南非種族隔離時期)黑人區		中高級
toxic	adj.	有毒的、引起中毒的		中高級			L5
toy	noun	玩具		初級		1200	L1
trace	verb/noun	追蹤；痕跡		初級	L6	800	L3
track	noun/verb	軌道、足跡；跟蹤、追蹤		初級			L2
tract	noun	(連通身體組織器官的)管道、大面積的土地		中高級
tractor	noun	拖拉機、牽引機		中高級
trade	noun/verb	貿易；交易		初級		800	L2
trade-in	noun	折舊換新		中高級
trademark	noun	商標、特徵		中級			L6
trade-off	noun	權衡、協調		中高級
trader	noun	商人、證券交易人		中級			L3
tradition	noun	傳統		初級	L2	800	L2
traditional	adj.	傳統的		初級		800	L2
traffic	noun	交通		初級		1200	L1
tragedy	noun 	悲劇		中級			L4
tragic	adj.	悲劇的、悲慘的		中級			L4
trail	noun/verb	蹤跡、小道；拖曳		中級			L3
trailer	noun	拖車；電影預告片		中高級
train 	noun	火車		初級		1200	L1
train 	verb	訓練		初級		1200	L1
trainee	noun	實習生		中高級
training	noun	訓練		中級
trait	noun	(個性)特徵		中高級			L5
traitor	noun	叛徒、賣國賊		中高級			L5
traitorous	adj.	背叛的、叛國的		中高級
tramp	verb	重步行走		中高級
tramp	noun	沉重的腳步聲；流浪漢		中高級
trample	verb/noun	踐踏		中高級
tranquil	adj.	平靜的、靜謐的		中高級
tranquilize	verb	使鎮定		中高級
tranquilizer	noun	鎮定劑		中高級
transaction	noun	交易、辦理		中高級			L5
transcend	verb	超出、超越界線		中高級
transcendent	adj.	卓越的、傑出的		中高級
transcribe	verb	抄錄、轉錄(為另一種形式)		中高級
transcript	noun	抄本、謄本、成績單		中高級			L6
transcription	noun	抄寫、謄寫		中高級
transfer	noun/verb	調動、搬遷		中級	L2		L4
transform	verb	改變、改造		中級	L6		L4
transformation	noun	(徹底的)變化、改革		中高級	L6		L5
transformer	noun	變壓器		中高級
transient	adj./noun	短暫的、稍縱即逝的、過往的；短期住客	= transitory	中高級
transistor	noun	電晶體		中高級
transit	noun/verb	運輸(系統)、過境；運送過、通過		中高級	L5		L5
transition	noun	過渡、轉變		中高級			L5
translate	verb	翻譯		中級			L4
translation	noun	翻譯		中級			L4
translator	noun	翻譯、譯者		中級			L4
transmission	noun	傳送、傳染、(電台或電視)播送		中高級	L7		L5
transmit	verb	播送、傳染、傳導(熱、光)		中高級	L7		L6
transparency	noun	透明度、幻燈片		中高級
transparent	adj.	透明的、易看穿的		中高級			L5
transplant	noun/verb	移植(器官等)		中級			L6
transport	noun/verb	運輸、交通工具；運送		中級	L6		L3
transportation	noun	運輸		中級	L6		L4
trap	verb/noun	設陷阱；陷阱		初級		800	L2
trash	noun/verb	垃圾；丟棄、損壞		初級		1200	L2
trauma	noun	精神創傷、外傷		中高級			L5
traumatic 	adj.	痛苦難忘的、造成精神創傷的		中高級
travel	verb/noun	旅行		初級		800	L2
traveler	noun	旅行者	= traveller (British English)	中級			L3
traveling	adj.	旅行的、巡迴的	= travelling (British English)	中級
traverse	verb/noun	穿過、橫越		中高級
tray	noun	托盤		中級			L3
treacherous	adj.	凶險的、不忠的		中高級
tread	verb/noun	踩、踏；步伐、腳步聲		中高級
treason	noun	叛國罪		中高級
treasure	noun/verb	寶藏；珍惜		初級		800	L2
treasury	noun	財政部、寶庫		中高級			L6
treat	verb/noun	治療、請客		初級		1200	L1
treatment	noun	治療		初級			L1
treaty	noun	條約		中級			L5
tree	noun	樹		初級		1200	L1
trek	verb/noun	長途跋涉、徒步旅行		中高級			L6
tremble	verb/noun	發抖、震顫		中級			L4
tremendous	adj.	巨大的、極大的		中級			L4
tremor	noun	顫抖、輕微地震		中高級
trench	noun/verb	溝、戰壕；挖掘戰壕		中高級
trend	noun	趨勢		中級	L5		L3
trespass	verb/noun	擅自進入、侵占		中高級
trial	noun	嘗試		初級			L2
triangle	noun	三角形		初級		800	L2
tribal	adj.	部落的、部族的		中高級			L4
tribe	noun	部落		中級			L3
tribunal	noun	特別法庭		中高級
tribute	noun	頌詞、進貢		中高級			L5
trick	noun/verb	把戲；騙		初級		1200	L2
tricky	adj.	狡猾的、難對付的		中級			L3
trifle	noun/verb	少量、瑣事；輕視、戲弄		中高級			L6
trigger	noun/verb	扳機、誘因；觸發、起動		中高級	L9		L5
trillion	noun	兆、大量		中高級			L6
trim	verb/noun	修剪、削減		中高級			L5
trim	adj.	苗條的、整齊的		中高級			L5
trio	noun	三人(個)一組、三重奏		中高級
trip	noun	旅行		初級		1200	L1
triple	adj./verb	三部分的、三倍的；增至三倍		中高級			L5
triumph	noun/verb	(大)勝利、成功		中級			L4
triumphant	adj.	大獲全勝的、歡欣鼓舞的		中高級
trivial	adj.	不重要的、瑣碎的		中高級			L5
trolley	noun	手推車、電車	= tram, tramcar, streetcar	中高級
troop	noun/verb	軍隊、一群；成群結隊而行		中級			L3
trophy	noun	獎品、獎盃、戰利品		中高級			L5
tropic	noun/adj.	回歸線、熱帶；熱帶的		中高級			L6
tropical	adj.	熱帶的		中級			L3
trot	verb/noun	小跑、快步走		中高級
trouble	noun/verb	麻煩；使煩惱		初級		1200	L1
troublesome	adj.	令人煩惱的		中級			L4
trousers	noun	褲子	= pants (American English)	初級		800
trout	noun	鱒魚		中高級			L6
truant	noun/adj./verb	逃學生；怠忽職守的；曠課、逃學		中高級
truce	noun	停戰協定		中高級
truck	noun	卡車		初級		1200	L1
true	adj.	真實的		初級		1200	L2
truly	adv.	真誠的、確實		中高級
trumpet	noun	小號		初級		800	L3
trunk	noun	樹幹		中級			L3
trust	noun/verb	相信、信任		初級		800	L2
trustee	noun	受託人、信託公司		中高級			L6
truth	noun	真理、真相		初級		800	L2
truthful	adj.	誠實的、真實的		中級			L3
try	verb/noun	嘗試		初級		1200	L1
T-shirt	noun	圓領汗衫	= tee-shirt	初級		1200	L1
tub	noun	盆、桶、浴缸		初級		800	L3
tube	noun	管子、地鐵	地鐵 = underground, railway	中級		800	L2
tuberculosis	noun	結核病	= TB	中高級
tuck	verb/noun	把…塞進；打褶		中高級			L6
Tuesday	noun	星期二	= Tues./Tue.	初級		1200
tug	verb/noun	拉、拖		中級			L3
tug-of-war	noun	拔河、激烈競爭		中高級
tuition	noun	學費、教學		中高級			L5
tulip	noun	鬱金香		中級
tumble	verb/noun	跌倒、倒塌		中級			L4
tumor	noun	腫瘤、腫塊	= tumour (British English)	中高級			L5
tuna	noun	鮪魚		中高級			L5
tune	noun/verb	曲調；調音		中級			L3
tunnel	noun	隧道		初級		800	L3
turbine	noun	渦輪機、汽輪機		中高級
turbulent	adj.	動盪的、猛烈的		中高級
turkey	noun	火雞		初級		800
turmoil	noun	動亂、騷動、焦慮		中高級			L6
turn	verb	轉(彎)		初級		1200	L1
turn	noun	一次機會		初級		1200	L1
turnover	noun	營業額、翻轉、周轉率		中高級
turtle	noun	龜		初級		1200	L2
tutor	noun/verb	家庭教師；指導、當家教		中級			L3
TV	noun	電視	= television	初級		1200	L1
twelve	number/pron./noun/adj.	十二		初級		1200
twenty	number/pron./noun/adj.	二十		初級		1200
twice	adv.	兩次		初級		1200	L1
twig	verb	明白、領悟		中高級
twig	noun	細枝		中級			L4
twilight	noun	暮色、黃昏		中高級			L6
twin	noun/adj./verb	雙胞胎；雙胞胎的；使相連		中級			L3
twinkle	verb/noun	閃爍；閃亮		中級			L6
twist	verb/noun	彎曲、扭轉、轉彎		中級			L3
two	number/pron./noun/adj.	二		初級		1200
two-thirds	noun/pron./adj./adv.	三分之二	= two thirds	中高級
type 	verb	打字		初級		1200	L1
type 	noun	類型		初級		1200	L1
typewriter	noun	打字機		中級
typhoon	noun	颱風		初級		1200	L2
typical	adj.	典型的		中級			L2
typically	adv.	通常、典型地、不出所料		中高級
typist	noun	打字員		中級
tyranny	noun	暴虐、暴政		中高級
tyrant	noun	暴君、君主專制		中高級
ugly	adj.	醜陋的		初級		1200	L2
ulcer	noun	潰瘍		中高級
ultimate	adj./noun	最後的、極端的、基本的；極品、最終的事物、終極、極限		中高級	L7		L5
ultimately	adv.	最終、終究、最基本地		中高級	L7
ultraviolet	adj.	紫外線的		中高級
umbrella	noun	雨傘		初級		1200	L2
umpire	noun/verb	裁判員；當裁判、裁決		中高級
unacceptable	adj.	不能接受的、無法同意的		中高級
unanimous	adj.	意見一致的、一致同意的		中高級			L6
unbeaten	adj.	未嘗敗績的		中高級
uncertainty	noun	不確定性		中高級
unchanged	adj.	無變化的、未改變的		中高級
uncle	noun	叔叔		初級		1200	L1
unconditional	adj.	無條件的、絕對的		中高級			L6
uncover	verb	揭開蓋子、揭露、揭發		中高級			L5
under	prep./adv.	在…下、低於；在下面		初級		1200	L1
underestimate	verb	低估、輕視		中高級			L6
undergo	verb	經歷、遭受		中高級	L10		L5
undergraduate	noun	大學生		中高級			L5
underground	adj./adv./noun	地下的、暗中的；在地下；地鐵		中級			L2
underlie	verb	構成的基礎、作為的原因		中高級	L6
underline	verb	在…下面畫線、強調		初級		800	L5
underlying	adj.	根本的、潛在的		中高級			L3
undermine	verb	逐漸削弱、破壞		中高級			L5
underneath	prep./adv./adj./noun	在…之下；在下方；下面的；底部		中高級			L6
underpass	noun	地下道		初級		800	L6
understand	verb	懂、 了解		初級		1200	L1
understandable	adj.	合情理的、易懂的		中高級
understanding	noun/adj.	理解；體諒的		中級
undertake	verb	承擔、從事		中級	L4		L5
underwater	adv./adj.	在水下；水下的		中級
underway	adj.	已開始的、在進行中的		中高級			L6
underwear	noun	內衣		初級		800	L3
underweight	adj.	體重不足的		中級
underwrite	verb	承擔經濟責任、承保		中高級
undo	verb	拆開、消除、打敗		中高級			L5
undoubted	adj.	無疑的、確實的		中高級
uneasy	adj.	不安的、不自在的、拘束的		中高級
unemployed	adj./noun	失業的、待業的；失業者		中高級
unemployment	noun	失業、失業人數		中高級			L5
unexpected	adj.	出乎意料的		中級
unfold	verb	展開、透露		中高級			L5
unidentified	adj.	未知的、不明的		中高級
unification	noun	統一、單一化		中高級	L9		L6
uniform	noun/adj.	制服；一致的		初級	L8	1200	L1
unify	verb	統一、使成一體		中高級	L9		L6
union	noun	合併、和諧、工會		中級			L3
unique	adj.	獨特的		初級	L7	800	L3
unit	noun	單位		初級			L2
unite	verb	聯合、團結、統一		中級			L3
unity	noun	團結一致、聯合		中級			L3
universal	adj./noun	普遍的、全體的；普通性、普遍現象		中級			L4
universe	noun	宇宙		初級		800	L2
university	noun	大學		初級		800	L2
unknown	adj.	未知的、無名的		中級
unleash	verb	鬆開(狗)的皮帶、發洩(情感)、使爆發		中高級
unless	conj.	除非		中級			L2
unlike	prep.	不像		中級
unload	verb	卸貨、推卸責任		中高級
unlock	verb	開鎖、揭開		中高級			L5
unpack	verb	打開(包裹、行李)、取出東西		中高級
unprecedented	adj.	前所未有的、空前的		中高級			L5
unrest	noun	動盪、騷動		中高級
until	conj./prep.	直到	= till	初級		1200	L1
untouched	adj.	未動過的、未受影響的		中級
unusual	adj.	不尋常的、特別的		中級
unusually	adv.	特別地、非常、不尋常地		中高級
unveil	verb	揭幕、首次公開		中高級			L6
unwanted	adj.	多餘的、意外的		中高級
up	adv./prep./adj.	向上；在…上面；向上的		初級		1200	L1
up	verb	增加、起身離開		中高級			L1
upbringing	noun	撫育、教育		中高級
update	verb/noun	使現代化、更新、為…補充最新資料；最新的情況		中高級			L5
upgrade	verb/noun	使升級、提升；升級、上坡		中高級			L5
uphold	verb	維護(正義)、維持(判決)		中高級
upload	verb	上傳、上載		初級		1200	L2
upon	prep.	在…之上、在…後立即		初級		800	L2
upper	adj.	上面的、上部的		初級		800	L2
upright	adj./noun	挺直的、正直的；立柱		中高級			L6
